Order_No,Order_Date,Customer_Name,Ship_Date,Retail_Price_USD,Order_Quantity,Tax_USD,Total_USD
1001,01-01-2024,John Smith,03-01-2024,50,2,10,110
1002,01-01-2024,Jane Doe,04-01-2024,30,1,3,33
1003,02-01-2024,Michael Johnson,07-01-2024,100,3,30,330
1004,02-01-2024,Emily Brown,03-01-2024,20,4,8,88
1005,03-01-2024,David Wilson,08-01-2024,150,1,15,165
1006,03-01-2024,Lisa Taylor,06-01-2024,80,2,16,176
1007,04-01-2024,Daniel Martinez,06-01-2024,40,3,12,132
1008,04-01-2024,Sarah Anderson,09-01-2024,70,2,14,154
1009,05-01-2024,Christopher Thomas,06-01-2024,90,1,9,99
1010,05-01-2024,Kimberly Garcia,08-01-2024,200,1,20,220
1011,06-01-2024,William Hernandez,07-01-2024,30,5,15,165
1012,06-01-2024,Melissa Lopez,08-01-2024,80,2,16,176
1013,07-01-2024,Richard Perez,09-01-2024,50,3,15,165
1014,07-01-2024,Jessica Gonzalez,12-01-2024,130,1,13,143
1015,08-01-2024,Matthew Wilson,13-01-2024,20,4,8,88
1016,08-01-2024,Amanda Martinez,12-01-2024,150,1,15,165
1017,09-01-2024,James Johnson,14-01-2024,70,2,14,154
1018,09-01-2024,Laura Brown,12-01-2024,40,3,12,132
1019,10-01-2024,Daniel Smith,11-01-2024,200,1,20,220
1020,10-01-2024,Jennifer Davis,14-01-2024,30,5,15,165
1021,11-01-2024,Michael Garcia,14-01-2024,80,2,16,176
1022,11-01-2024,Amy Hernandez,15-01-2024,50,3,15,165
1023,12-01-2024,Robert Wilson,16-01-2024,90,1,9,99
1024,12-01-2024,Patricia Lopez,17-01-2024,200,1,20,220
1025,13-01-2024,John Taylor,18-01-2024,20,4,8,88
